SO Name,Wiley Online Library Full Collection 2012_2014 NESLI2,,,,,,,,,,,,,,,,,,,
SO Identifier,wiley_Full Collection_2012_2014_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Wiley,,,,,,,,,,,,,,,,,,,
Package Identifier,Full Collection,,,,,,,,,,,,,,,,,,,
Package Name,Full Collection,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2014,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
ANGEWANDTE CHEMIE,0044-8249,1521-3757,1998,110,,,,,,,,,,10.1002/(ISSN)1521-3757,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3757,Wiley Online Library,administrative,
ANGEWANDTE CHEMIE INTERNATIONAL EDITION,1433-7851,1521-3773,1998,37,,,,,,,,,,10.1002/(ISSN)1521-3773,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3773,Wiley Online Library,administrative,
ANIMAL CONSERVATION,1367-9430,1469-1795,1998,1,,,,,,,,,,10.1111/(ISSN)1469-1795,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-1795,Wiley Online Library,administrative,
ANIMAL GENETICS,0268-9146,1365-2052,1997,28,,,,,,,,,,10.1111/(ISSN)1365-2052,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2052,Wiley Online Library,administrative,
ANIMAL SCIENCE JOURNAL,1344-3941,1740-0929,2002,73,,,,,,,,,,10.1111/(ISSN)1740-0929,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1740-0929,Wiley Online Library,administrative,
ANNALEN DER PHYSIK,0003-3804,1521-3889,1998,7,,,,,,,,,,10.1002/(ISSN)1521-3889,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3889,Wiley Online Library,administrative,
ANNALS OF ANTHROPOLOGICAL PRACTICE,2153-957X,2153-9588,1997,17,,,,,,,,,,10.1111/(ISSN)1556-4797,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1556-4797,Wiley Online Library,administrative,
ANNALS OF APPLIED BIOLOGY,0003-4746,1744-7348,1997,130,,,,,,,,,,10.1111/(ISSN)1744-7348,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-7348,Wiley Online Library,administrative,
ANNALS OF HUMAN GENETICS,0003-4800,1469-1809,1997,61,,,,,,,,free back issues after 2 years back to Jan 1st 1997,,10.1111/(ISSN)1469-1809,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-1809,Wiley Online Library,administrative,
ANNALS OF NEUROLOGY,0364-5134,1531-8249,1999,45,,,,,,,,,,10.1002/(ISSN)1531-8249,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1531-8249,Wiley Online Library,administrative,
ANNALS OF NONINVASIVE ELECTROCARDIOLOGY,1082-720X,1542-474X,1997,2,,,,,,,,,,10.1111/(ISSN)1542-474X,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1542-474X,Wiley Online Library,administrative,
ANNALS OF PUBLIC AND COOPERATIVE ECONOMICS,1370-4788,1467-8292,1997,68,,,,,,,,,,10.1111/(ISSN)1467-8292,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8292,Wiley Online Library,administrative,
ANNALS OF THE NEW YORK ACADEMY OF SCIENCES,0077-8923,1749-6632,1997,807,,,,,,,,,,10.1111/(ISSN)1749-6632,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1749-6632,Wiley Online Library,administrative,
ANNUAL BULLETIN OF HISTORICAL LITERATURE,0066-3832,1467-8314,1997,81,,,,,,,,,,10.1111/(ISSN)1467-8314,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8314,Wiley Online Library,administrative,
ANNUAL REVIEW OF INFORMATION SCIENCE & TECHNOLOGY (ELECTRONIC),,1550-8382,2002,36,,,,,,,,,,10.1002/(ISSN)1550-8382,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1550-8382,Wiley Online Library,administrative,
ANTHROPOLOGY & EDUCATION QUARTERLY,0161-7761,1548-1492,1997,28,,,,,,,,,,10.1111/(ISSN)1548-1492,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1492,Wiley Online Library,administrative,
ANTHROPOLOGY & HUMANISM,1559-9167,1548-1409,1997,22,,,,,,,,,,10.1111/(ISSN)1548-1409,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1409,Wiley Online Library,administrative,
ANTHROPOLOGY OF CONSCIOUSNESS,1053-4202,1556-3537,1997,8,,,,,,,,,,10.1111/(ISSN)1556-3537,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1556-3537,Wiley Online Library,administrative,
ANTHROPOLOGY OF WORK REVIEW,0883-024X,1548-1417,1997,18,,,,,,,,,,10.1111/(ISSN)1548-1417,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1417,Wiley Online Library,administrative,
ANTHROPOLOGY TODAY,0268-540X,1467-8322,2000,16,,,,,,,,,,10.1111/(ISSN)1467-8322,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8322,Wiley Online Library,administrative,
ANTIPODE,0066-4812,1467-8330,1997,29,,,,,,,,,,10.1111/(ISSN)1467-8330,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8330,Wiley Online Library,administrative,
ANZ JOURNAL OF SURGERY,1445-1433,1445-2197,1997,67,,,,,,,,,,10.1111/(ISSN)1445-2197,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1445-2197,Wiley Online Library,administrative,
APMIS,0903-4641,1600-0463,1997,105,,,,,,,,,,10.1111/(ISSN)1600-0463,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0463,Wiley Online Library,administrative,
APPLIED COGNITIVE PSYCHOLOGY,0888-4080,1099-0720,1997,,,,,,,,,,,10.1002/(ISSN)1099-0720,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0720,Wiley Online Library,administrative,
